Establecimiento;Tipo;Categoria;EdificioSituacion;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;UnidadesAlojativas;Plazas;Telefonos;Telefax;Email;Url
CASABLANCA;APARTAMENTO;3 LLAVES;Playa;C/. CALZADA MARTIANEZ (URB. EL TOPE) ;4;38400;0;0;0;PUERTO DE LA CRUZ;122;410;922371814;922374209;reservas@aptoscasablanca.com;www.apartamentoscasablanca.com
CASAS BIOCLIMATICAS ITER;CASA EMBLEMATICA;CATEGORÍA ÚNICA;Polígono Industrial;PARQUE EOLICO - POLIG. INDUSTRIAL DE GRANADILLA, S/N;0;38600;0;0;0;GRANADILLA DE ABONA;74;119;;;casas.bioclimaticas@iter.es;www.casas.iter.es
CASAS GORDEJUELA;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);CAMINO DE LA RAMBLA DE CASTRO, S/N - LA GORDEJUELA . PLAYA FAJANA;0;38410;0;0;0;LOS REALEJOS;3;6;922386361/362068;;;
CASERIO DEL CAMINO REAL;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);ANTIGUO CAMINO REAL, S/N;0;38570;0;0;0;FASNIA;9;24;;;;
CASILLA, LA;CASA RURAL;CATEGORIA ÚNICA;Carretera;CTRA. GRAL. PUNTA DEL HIDALGO, 119;0;38280;0;0;0;TEGUESTE;1;3;922153151/686645931;;;
CASITA DEL BARRANCO, LA;CASA RURAL;CATEGORIA ÚNICA;Montaña;EL RINCÓN, 84;0;38300;0;0;0;LA OROTAVA;0;0;649871388 /922296341;;;
CASITA, LA;CASA RURAL;CATEGORIA ÚNICA;;C/ JOSE ANTONIO, 13;0;38550;0;0;0;ARAFO;2;4;659448806/922277434;922249661;lupecastro@aol.com;www.lacasitatenerife.com
CASONA DE ACEVEDO, LA;CASA RURAL;CATEGORIA ÚNICA;;CAMINO MARENGO, S/N (FINCA ACEVEDO);0;38000;0;0;0;ICOD DE LOS VINOS;5;10;922300605;;;
CASSANDRA;PENSIÓN;1 ESTRELLA;;SAN MIGUEL, ESQ. C/ SAN JOSÉ, S/N. ;0;38660;0;0;0;ARONA;22;44;922722258;922741401;info@pensiontenerife.com;www.pensiontenerife.com
CASTALIA PARK;APARTAMENTO;3 LLAVES;;AVDA. BRUSELAS;5;38670;0;0;0;ADEJE;107;357;922713366;922712096;recepcion@castaliapark.com;www.castaliapark.com
CASTLE HARBOUR;APARTAMENTO;3 LLAVES;Urbanización;AVDA. SAN FRANCISCO, S/N. (URB. OASIS DEL SUR);0;38650;0;0;0;ARONA;183;424;922796408;922795608;;
CATALONIA LAS VEGAS;HOTEL;4 ESTRELLAS;;AVDA. COLON;2;38400;0;0;0;PUERTO DE LA CRUZ;261;495;922383900;922386805;lasvegas@hoteles-catalonia.es;www.hoteles-catalonia.es
CATALONIA ORO NEGRO;HOTEL;3 ESTRELLAS;Playa;C/. ARQUITECTO GOMEZ CUESTA;14;38660;0;0;0;ARONA;269;538;922790612;922 794324;oronegro@hoteles-catalonia.es;www.hoteles-catalonia.es
CATALONIA PUNTA DEL REY;HOTEL;4 ESTRELLAS;;AVDA. MARITIMA;165;38520;0;0;0;CANDELARIA;424;806;922501899;922500091;punta@hoteles-catalonia.es;www.hoteles-catalonia.es
CEJAS;PENSIÓN;1 ESTRELLA;Ciudad;C/. SAN FRANCISCO;47;38002;0;0;0;SANTA CRUZ DE TENERIFE;7;11;922281872;;;
CERVANTES;PENSIÓN;1 ESTRELLA;;RODRIGUEZ OLIVA, 5 ;0;38200;0;0;0;LA LAGUNA;13;26;922645306;;;
CHA-CARMEN;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);LA VERA, 10;0;38579;0;0;0;FASNIA;1;3;922500709/660331466;922500709;lasombrera@gmail.com;www.lasombrera.com
CHIMISAY;HOTEL;3 ESTRELLAS;;AGUSTIN DE BETHENCOURT, 14 ;0;38400;0;0;0;PUERTO DE LA CRUZ;62;117;922383552;922382840;reservas@hotel-chimisay.com;www.hotel-chimisay.com
CHINYERO;APARTAMENTO;2 LLAVES;;CTRA. EL BOTANICO;35;38400;0;0;0;PUERTO DE LA CRUZ;28;59;922385811;922371127;atpezazul@hotmail.com;www.geo.ya.com/atchinyero
CHO PINITO CRUZ;VIVIENDA TURISTICA;SIN DATO;Barrio;CMNO. DEL CENTRO, 1;0;38291;0;0;0;EL ROSARIO;4;7;922548436/922257004;;;www.casachopinito.com
CIUDAD JARDIN-OLYMPUS;APARTAMENTO;1 LLAVE;Playa;CIUDAD JARDIN (URB. SAN EUGENIO);234;38670;0;0;0;ADEJE;141;451;922795584/752909;922796915;cc@lympusworld.com;www.plympusworld.com
CLAVELES, LOS;APARTAMENTO;2 LLAVES;Playa;ASOMADA DE LOS CERES, S/N.;0;38650;0;0;0;ARONA;105;370;922794864;922/795251;claveles@wimpen.com;www.wimpen.com
CLEOPATRA PALACE HOTEL;HOTEL;4 ESTRELLAS;Playa;PLAYA DE LAS AMERICAS ;0;38000;0;0;0;ARONA;431;866;922 75 75 00;;;
CLUB AMBASSADOR-PARQUE FARRAIS;APARTAMENTO;3 LLAVES;Centro Comercial;GRANADOS, 18 URB. EL DURAZNO;0;38400;0;0;0;PUERTO DE LA CRUZ;24;83;922381703;922375035;info@apto-ambassador.com;
CLUB AMBASSADOR-PARQUE FARRAIS;APARTAMENTO;3 LLAVES;Centro Comercial;GRANADOS, 18 URB. EL DURZNO;0;38400;0;0;0;PUERTO DE LA CRUZ;20;60;922382606/381566;922375035;info@apto-ambassador.com;
CLUB ATLANTIS;HOTEL;4 ESTRELLAS;;AVDA. COLON, 3 (URB. SAN EUGENIO);0;38670;0;0;0;ADEJE;255;533;922715408;922715974;clubatlantis@hovima-hotels.com;www.hovima-hotels.com
CLUB BONANZA;HOTEL;3 ESTRELLAS;;VENEZUELA, 10;0;38670;0;0;0;ADEJE;108;241;922753125;922788316;info@coral.hotels.com;www.coral-hotels.com
CLUB HOTEL RIU BUENAVISTA;HOTEL;4 ESTRELLAS;;C/. HORNO, S/N. (URB. PLAYA PARAISO);0;38660;0;0;0;ADEJE;509;1100;922/756100;922 723468;direccion@hotelesdunas.com;www.hotelesdunas.com
CLUB LA COSTA AT MONTERREY ;HOTEL;1 ESTRELLA;;C/. FINLANDIA, 8-10 (SAN EUGENIO ALTO);0;38660;0;0;0;ADEJE;63;179;922/794331;922/795987;monterey@clublacosta.com;www.clublacosta.com
CLUB LA COSTA AT MONTERREY ROYALE;HOTEL;1 ESTRELLA;;PARCELA,41 (URB. SAN EUGENIO ALTO) ;0;38670;0;0;0;ADEJE;25;81;922794331;922795987;tchinea@clublacosta.com;
CLUB LA COSTA AT PARADISE;APARTAMENTO;2 LLAVES;Playa;GALICIA, 6 URB. TORVISCAS ALTO;0;38000;0;0;0;ADEJE;181;631;922794331;922/795987;arodriguez@clublacosta.com;www.clublacosta.com
CLUB LA MAR;APARTAMENTO;1 LLAVE;Playa;AVDA. MARITIMA, 25 ( URB. COSTA SALVAJE) ;0;38400;0;0;0;SANTIAGO DEL TEIDE;38;187;922862257;922862539;cimreception@miconsortium.com;www.rmiconsortium.com
CLUB MED TENERIFE;HOTEL;1 ESTRELLA;;C/. EL JABLE, S/N. ;0;38670;0;0;0;ADEJE;80;160;922740575;922741064;;
CLUB TROPICAL PLAYA;HOTEL;3 ESTRELLAS;Playa;BOLIVIA, S/N. ;0;38660;0;0;0;ADEJE;189;392;922752121;922751000;recepcion@tropicalplaya.com;www.hoteltropicalplaya.com
COLON GUANAHANI;HOTEL;4 ESTRELLAS;;C/. BRUSELAS (URB. PLAYA FAÑABE) ;0;38670;0;0;0;ADEJE;154;308;922712046;922712121;guanahani@nivaria.es;www.colonguanahani.com
COLON II;APARTAMENTO;3 LLAVES;Playa;RAFAEL PUIG , 13 , AVDA. ;0;38000;0;0;0;ARONA;89;235;922793716/790728;922790197;claudio@mammarosa.com;www.apartamentoscolon2.com
COLON RAMBLA;HOTEL;3 ESTRELLAS;Ciudad;C/. VIERA Y CLAVIJO, 49 ;0;38004;0;0;0;SANTA CRUZ DE TENERIFE;40;90;922272550;922272716;colonrambla@telefonica.net;www.hotel-colonrambla.com
COLONIAL BEACH CLUB;APARTAMENTO;2 LLAVES;;VILLAS DE LA PLAYA, 19 ;0;38660;0;0;0;ARONA;11;22;922/717226;922717226;usatfs@hotmail.com;
COLONIAL PARQUE LOS GIGANTES;APARTAMENTO;1 LLAVE;Urbanización;JOSE GONZALEZ FORTES, 73,  AVD.;0;38683;0;0;0;SANTIAGO DEL TEIDE;36;113;922867114;922861425;colonialparque@karuna-inversiones.com;www.colonialparque.es
COLUMBUS;HOTEL;3 ESTRELLAS;;AVDA. SANTIAGO PUIG, 6;0;38640;0;0;0;ARONA;472;604;922793250;922794524;reservas@kanali.es;www.kanali.es
COMODORO-BAILEY;APARTAMENTO;1 LLAVE;;JUAN CARLOS I, 30, AVDA.;0;38000;0;0;0;ARONA;12;32;922790700;922791556;;
COMODORO-RAVEL;APARTAMENTO;1 LLAVE;;JUAN CARLOS I, 30 ;0;38000;0;0;0;ARONA;33;77;922790700;;;
COMODORO-VICTOR;APARTAMENTO;1 LLAVE;;JUAN CARLOS I, 30, AVDA. ;0;38000;0;0;0;ARONA;3;7;922/792132;922790672;infor@callaomar.com;
COMPOSTELA BEACH;APARTAMENTO;3 LLAVES;;AVDA. LAS AMÉRICAS;8;38660;0;0;0;ARONA;241;834;922793203/922793007;922796057;barreiro@coral-hotels.com;www.cha.com
COMPOSTELA BEACH GOLF II;APARTAMENTO;3 LLAVES;Urbanización;C/. ARENALES (GOLF DE LAS AMERICAS) ;16;38660;0;0;0;ARONA;156;326;922753125;922788316;info@coral-hotels.com;www.coral-hotels.com
CONCORDIA PLAYA;HOTEL;4 ESTRELLAS;;GENERALISIMO, 32,  AVDA. ;0;38400;0;0;0;PUERTO DE LA CRUZ;236;452;922385500;922371382;concordia@hotelconcordia.e.teelefonica.net;
CONDESA;HOTEL;3 ESTRELLAS;;QUINTANA, 11 ;0;38400;0;0;0;PUERTO DE LA CRUZ;46;88;922381050/922383151;922386950;reservas@hotelmarquesa.com;www.hotelmarquesa.com
CONQUISTADOR;HOTEL;4 ESTRELLAS;;AVDA. RAFAEL PUIG LLUVINA, 36;0;38660;0;0;0;ARONA;485;922;922753000;922792568;h10.conquistador@h10.es;www.h10.es
CONTEMPORANEO;HOTEL;3 ESTRELLAS;Ciudad;RAMBLA DE SANTA CRUZ, 116;0;38001;0;0;0;SANTA CRUZ DE TENERIFE;126;218;922271571;922271223;dirección@hotelcontemporaneo.com;www.hotelcontemporaneo.com
CORAL BEACH;HOTEL;3 ESTRELLAS;;C/. NOELIA AFONSO, 10 ;0;38640;0;0;0;ARONA;191;415;922752040;922796870;reservas@coral-hotels.com;www.coral-hotels.com
CORREA DEL ROSAL, LA;CASA RURAL;CATEGORIA ÚNICA;;PARAJE ALTAVISTA ;0;38640;0;0;0;ARONA;4;8;922249432;;;
CORREA, LA;CASA RURAL;CATEGORIA ÚNICA;Montaña;CMNO. REAL CRUZ DE SAN ANTONIO, Nº 58. ALTAVISTA;0;38649;0;0;0;ARONA;6;12;922726069;922726069;info@hrlacorrea.com;www.hrlacorrea.com
COSTA ADEJE GARDENS;APARTAMENTO;1 LLAVE;Playa;URB. SAN EUGENIO ALTO, PARCELA 54 ;0;38000;0;0;0;ADEJE;49;175;922797341;922750740;;
COSTA ADEJE GRAN HOTEL;HOTEL;5 ESTRELLAS;;Avda. Bruselas núm. 16, Costa Adeje;0;38660;0;0;0;ADEJE;458;802;922719421;922715656;comercial@gthoteles.com;www.costaadejegranhotel.com
COSTA ADEJE PALACE;HOTEL;4 ESTRELLAS;Playa;PLAYA DE LA ENRAMADA (LA CALETA);0;38670;0;0;0;ADEJE;467;646;922714171;922719481;www.h10.costaadeje.palace@h10.es;www.h10.es
COSTA SILENCIO-WESTHAVEN BAY;APARTAMENTO;1 LLAVE;;C/. DE LA TE;15;38000;0;0;0;ARONA;25;91;922730656/731284;922785189;nele@westhavenbay.com;www.westhavenbay.com
COSTAMAR-VALIENTE;APARTAMENTO;1 LLAVE;Playa;JUAN CARLOS I, 40;0;38000;0;0;0;ARONA;31;100;922/792132-696981017;922790677;info@callaomar.ocom;www.webtenerife.com
CUATRO ESQUINAS ;HOTEL EMBLEMATICO;CATEGORÍA ÚNICA;Suelo Urbano;C/ LA IGLESIA, 11;0;38620;0;0;0;SAN MIGUEL;7;14;922701187;;;
DALIAS, LAS;HOTEL;4 ESTRELLAS;;C/GRAN BRETAÑA, 1, URB. SAN EUGENIO;0;38660;0;0;0;ADEJE;404;728;922792712;922797675;las.dalias@iberostar.com;www.iberostar.com
DAVID;VIVIENDA TURISTICA;SIN DATO;Playa;CHALET 121 DE SUEÑO AZUL ;0;38600;0;0;0;ADEJE;2;4;;;;
DESEADA, LA;CASA RURAL;CATEGORIA ÚNICA;;C/ MIRANDA, 41 ;0;38350;0;0;0;TACORONTE;2;4;922570399;922570399;jufere@telefonica.net;www.ladeseada.com
DIAMANTE;APARTAMENTO;1 LLAVE;Playa;C/. TABAIBA, 5-7 ;0;38000;0;0;0;SANTIAGO DEL TEIDE;30;68;922862223;922862223;;
DIAMANTE SUITES;HOTEL;4 ESTRELLAS;;c/ Manuel Yanes Barreto núm. 13,  Playa Jardin;0;38400;0;0;0;PUERTO DE LA CRUZ;174;348;922370087;922 373234;administracion@gemahoteles.com;www.hoteldiamentesuites.com
DICA, LA;CASA RURAL;CATEGORIA ÚNICA;;C/ VISTA DEL BALO, 37;0;38592;0;0;0;ARICO;0;0;606468048;;;www.alojamientoruralladica.com
DÑA. REMEDIOS;CASA RURAL;CATEGORIA ÚNICA;Montaña;AVDA. BAYON, 62;0;38500;0;0;0;GÜIMAR;0;0;629576314;922298072;;
DOLORES;CASA RURAL;CATEGORIA ÚNICA;;C/ DOLORES, 20 ;0;38613;0;0;0;VILAFLOR;4;8;922631791;922631791;;
DON CANDIDO;HOTEL;1 ESTRELLA;Urbanización;C/. PORTUGAL (URB. SAN FERNANDO) ;10;NULL;0;0;0;PUERTO DE LA CRUZ;19;31;922380596;922380596;;
DON JOSE;APARTAMENTO;1 LLAVE;Playa;MARIA AMALIA FRIAS, 2;0;38660;0;0;0;ARONA;28;103;;;;
DON LEANDRO;CASA RURAL;CATEGORIA ÚNICA;Montaña;CTRA. LA ESPERANZA, KM.16  ;0;38370;0;0;0;EL ROSARIO;7;16;922690307;922243441;;www.donleandro.net
DON MANOLITO;HOTEL;3 ESTRELLAS;;DR. MADAN, 6 (LOS GUIRRES) ;0;38400;0;0;0;PUERTO DE LA CRUZ;79;151;922385040;922370877;dirección@donmanolito.com;www.donmanolito.com
DOÑA HERMINDA;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);C/ LA RESBALA, 1, JUNTO A LA BALSA SAN ANTONIO (POLIGONO 11, PARCELA 9006);0;38370;0;0;0;LA MATANZA DE ACENTEJO;1;2;922206976/609468619;;info@casaherminda.com;www.casaherminda.com
DOS BARRANCOS;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);BCO. BUFADERO, VALLE GRANDE, 13 ;0;38180;0;0;0;SANTA CRUZ DE TENERIFE;4;8;620763429;922253710;dosbarrancos@terra.es;www.dosbarrancos.net
DOS HERMANOS;PENSIÓN;1 ESTRELLA;;FUNDADOR GONZALEZ GONZALEZ, 7 AVDA. ;0;38600;0;0;0;GRANADILLA DE ABONA;20;31;922770735;922771242;;
DRAGO-LAURENT;APARTAMENTO;1 LLAVE;Playa;TEN-BEL URB. ;0;38000;0;0;0;ARONA;2;8;;;;
DRAGO-PEERAER;APARTAMENTO;1 LLAVE;Playa;TEN-BEL URB. ;0;38000;0;0;0;ARONA;5;10;;;;
DRAGOS DEL SUR;HOTEL;3 ESTRELLAS;;MARITIMA AVDA. ESQ. CALETA DEL JURADO ;0;38436;0;0;0;SANTIAGO DEL TEIDE;78;234;922862550;922860413;hotel-dragos-sur@terra.es;www.losdragosdelsur.com
DRAGOS, LOS;APARTAMENTO;3 LLAVES;Centro Comercial;AVDA 8 DE MARZO, 4 (URB. PARQUE LAS FLORES)  - CAMINO SAN ANTONIO;0;38000;0;0;0;PUERTO DE LA CRUZ;24;93;922386700/922387111;922370019;;www.losdragosdelsur.com
DULCES, LAS;CASA RURAL;CATEGORIA ÚNICA;;CTRA. LOS PAJARES, S/N.;0;38680;0;0;0;GUIA DE ISORA;4;8;922850261;;;www.fincalasdulces.com
DUQUE, EL;HOTEL;3 ESTRELLAS;;AVDA. BRUSELAS, Nº 14;0;38660;0;0;0;ADEJE;210;486;922718500;922719031;reservas@el-duque.com;www.el-duque.com
DURAZNO;APARTAMENTO;2 LLAVES;Playa;PRINCIPES DE ESPAÑA, 1 AVDA. ;0;38612;0;0;0;GRANADILLA DE ABONA;37;131;922176958;922176299;;
EL CHAPARRAL - AVANTI;APARTAMENTO;1 LLAVE;;AVDA. ALFONSO TAVIO, S/N -  COSTA DEL SILENCIO ;0;38000;0;0;0;ARONA;4;9;922731710;;;
ERJOS;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);C/ ANTONIO DORTA CURBELO, 3;0;38435;0;0;0;TANQUE;1;3;680366547;;sildydorta@hotmail.com;
ESCUELA SANTA CRUZ;HOTEL;4 ESTRELLAS;Ciudad;SAN SEBASTIAN, 152 ;0;38006;0;0;0;SANTA CRUZ DE TENERIFE;65;132;822010500;822010501;ehsc.hecansa.com;www.hecansa.com
ESCUELA, LA;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/ BENITEZ DE LUGO, 12 ;0;38580;0;0;0;ARICO;3;6;922768064;;;
ESTANCO VIEJO, EL;CASA RURAL;CATEGORIA ÚNICA;;C/ ESTANCO VIEJO, S/N;0;38677;0;0;0;ADEJE;4;9;922780939;;;www.casaruralestancoviejo.com
ESTEFANIA;HOTEL;4 ESTRELLAS;Urbanización;C/. ARMICHE (URB. AGUILAS DEL TEIDE);5;38008;0;0;0;ARONA;32;64;922751322;922751593;;
ESTRELLA, LA;PENSIÓN;1 ESTRELLA;;Ctra.Gral Km. 1.- Urb. La Estrella;0;38640;0;0;0;ARONA;10;12;922731562;;;
EUREKA;APARTAMENTO;2 LLAVES;Playa;TEN-BEL URB. ;0;38640;0;0;0;ARONA;99;230;922731439;922731259;;
EUROPE PARK CLUB;HOTEL;3 ESTRELLAS;Playa;AVDA. RAFAEL PUIG;23;38660;0;0;0;ARONA;241;474;922757060;922793352;pce@europe-hotels.org;www.europe-hotels.org
EUROPE VILLA CORTES;HOTEL;5 ESTRELLAS LUJO;Playa;AVDA. RAFAEL PUIG;23;38640;0;0;0;ARONA;151;277;922757700;922757701;direccion@villacortes.com;www.europe-hotels.org
FAÑABE COSTA SUR;HOTEL;4 ESTRELLAS;Playa;AVDA. BRUSELAS (FAÑABE);13;38660;0;0;0;ADEJE;413;826;922712900;922712769;dirección@fanabecostasur.com;www.fanabecostasur.com
FARO, EL;CASA RURAL;CATEGORIA ÚNICA;;CAMINO REAL, 1 ;0;38420;0;0;0;SAN JUAN DE LA RAMBLA;1;3;922414059;922417321;;
FINCA AZEBUCHE;CASA RURAL;CATEGORIA ÚNICA;;LOMO HERNÁNDEZ, S/N;0;38600;0;0;0;GRANADILLA DE ABONA;4;10;922258523;;;www.ruralalba.com
FINCA CABRERA;CASA RURAL;CATEGORIA ÚNICA;;LOMO CENTENO ;0;38592;0;0;0;ARICO;2;4;922767397;922712980;;
FINCA EL PASO;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (No Calificación);CMNO. CHASNA, 8 ;0;38300;0;0;0;LA OROTAVA;4;10;922324647;;;www.lafincaelpaso.com
FINCA EL QUINTO;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);CASERIO LOS QUINTOS, 37.;0;38410;0;0;0;LOS REALEJOS;14;26;922345002;922341175;info@elquinto.co.uk;
FINCA EL RINCON;APARTAMENTO;1 LLAVE;Barrio;CMNO. ANCON;37;38314;0;0;0;LA OROTAVA;8;30;922333862;922333862;;www.finca-el-rincon.com
FINCA LA QUINTA;CASA RURAL;CATEGORIA ÚNICA;;CTRA. SAN PEDRO - LAS CRUCES, 4 ;0;38450;0;0;0;GARACHICO;2;5;922133389;922133050;jbrieb@wanadoo.es;www.fincalaquinta.com
FINCA LAS CAÑITAS;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);LAS CAÑITAS;0;38435;0;0;0;TANQUE;2;6;922200818;;;
FINCA LOS CIRUELOS;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);CMNO. LA DESEADA, 6 (LOMO ACEVEDO);0;38438;332561;3137070;621;ICOD DE LOS VINOS;4;10;922643631;;;
FINCA LOS PATOS;CASA RURAL;CATEGORIA ÚNICA;;C/ PREVENTORIO, 9 ;0;38290;0;0;0;EL ROSARIO;2;4;922548004;;;www.parquelospatos.com
FINCA LOS PERALES;VIVIENDA TURISTICA;SIN DATO;Ciudad;GENERAL DEL NORTE, 1 CTRA. (EL RAMAL) ;0;38300;0;0;0;LA OROTAVA;2;4;922277249;;;
FINCA PARAISO;CASA RURAL;CATEGORIA ÚNICA;;CMNO. PARAISO, S/N.;0;38270;0;0;0;LA LAGUNA;2;6;696898536;922544146;;
FINCA SAROGA;CASA RURAL;CATEGORIA ÚNICA;;CMNO. LA HIGUERITA, S/N;0;38419;0;0;0;LOS REALEJOS;8;15;922384352;922373428;;
FINCA SUSANNA;PENSIÓN;2 ESTRELLAS;;C/ LAS CABEZADAS, 57   La Esperanza ;0;38290;0;0;0;EL ROSARIO;3;7;922548635;922548359;info@finca-susanna.com;www.finca-susanna.com
FINQUITA, LA;PENSIÓN;1 ESTRELLA;;SUBIDA DE TAUCHO, LOS MENORES;0;38670;0;0;0;ADEJE;10;20;922710735;922711073;info@lafinquita.com;www.lafinquita.com
FLAMINGO;HOTEL;3 ESTRELLAS;;AVDA. ESPAÑA, 3 ;0;38670;0;0;0;ADEJE;107;262;922712036;922712324;;
FLAMINGO SUITES;HOTEL;4 ESTRELLAS;;AVDA. DE ESPAÑA, S/N.;0;38670;0;0;0;ADEJE;18;50;922718400;922718401;;
FLORASOL;APARTAMENTO;3 LLAVES;;CAMINO DEL COCHE, 7 ;0;38400;0;0;0;PUERTO DE LA CRUZ;29;103;922389848;922389574;florasol@infonegocio.com;www.aparthotelflorasol.com
FLORIDA;APARTAMENTO;2 LLAVES;;CALAFATE,  10  (POLIG. SAN FELIPE) ;0;38000;0;0;0;PUERTO DE LA CRUZ;48;96;922370068;922387051;puerto@floridatenerife.com;www.floridatenerife.com
FLORIDA PARK CLUB;APARTAMENTO;2 LLAVES;;URB. SAN EUGENIO ALTO ;0;38000;0;0;0;ADEJE;31;81;922753125;;;
FLORIDA PLAZA;APARTAMENTO;3 LLAVES;;C/. PUERTO VIEJO, 30 ;0;38400;0;0;0;PUERTO DE LA CRUZ;132;276;922371511/371170;922387051;puerto@tenerife.com;www.floridatenerife.com
FLORITAS, LAS;APARTAMENTO;2 LLAVES;;ARQUITECTO GOMEZ CUESTA, 16 ;0;38670;0;0;0;ARONA;83;249;922791367;922791019;lasfloritas@telefonica.net;
FUENTES, LAS;APARTAMENTO;2 LLAVES;;SUECIA AVDA. PROLONGACION ;0;38000;0;0;0;ARONA;18;54;922752640;;;
FURNIA DEL BEBEDERO;CASA RURAL;CATEGORIA ÚNICA;;CMNO. DEL BEBEDERO (BARRIO DE SAN ANTONIO);0;38430;0;0;0;ICOD DE LOS VINOS;0;0;922810114;;;
GALA;HOTEL;4 ESTRELLAS;;ARQUITECTO GOMEZ  CUESTA, 3 ;0;38660;0;0;0;ARONA;308;636;922794513;922796465;ptrujillo@hotelgala.com;www.hotelgala.com
GAÑANIA DE ACEVEDO;CASA RURAL;CATEGORIA ÚNICA;;FINCA ACEVEDO, S/N.;0;38430;0;0;0;ICOD DE LOS VINOS;1;3;922300605;;;
GAÑANIA, LA;CASA RURAL;CATEGORIA ÚNICA;;C/ LOS AFLIJIDOS, 4 ;0;38419;0;0;0;LOS REALEJOS;3;6;922286396;922286396;;www.casalaganania.com
GEMA PUERTO;HOTEL;3 ESTRELLAS;Ciudad;C/. BLANCO, 13;0;38400;0;0;0;PUERTO DE LA CRUZ;48;88;922374049;922388376;direccion@gemahoteles.com;www.gemahoteles.com
GEMINIS-LAURENT;APARTAMENTO;1 LLAVE;Playa;TEN-BEL URB. ;0;38000;0;0;0;ARONA;2;8;;;;
GERANIOS, LOS;PENSIÓN;2 ESTRELLAS;;EL LOMO, 14 ;0;38400;0;0;0;PUERTO DE LA CRUZ;10;20;922382810;922382810;;
GERMAN;PENSIÓN;1 ESTRELLA;;SANTO DOMINGO, 1 ;0;38613;0;0;0;VILAFLOR;10;17;922709028;;;
GIGANTES, LOS;HOTEL;4 ESTRELLAS;;C/. FLOR DE PASCUA;12;38683;0;0;0;SANTIAGO DEL TEIDE;225;451;922861020;922860475;hotellosgigantes@hotellosgigantes.com;www.hotellosgigantes.com
GIJON;PENSIÓN;1 ESTRELLA;;C/. CALLAO DE LIMA;37-3;38002;0;0;0;SANTA CRUZ DE TENERIFE;4;6;922288603;;;
GOLF PARK I;APARTAMENTO;3 LLAVES;;GOLF DEL SUR URB. ;0;38620;0;0;0;SAN MIGUEL;18;54;922738098;922731161;;
GOLF PLAZA;HOTEL;4 ESTRELLAS;;URB. GOLF DEL SUR;0;38620;0;0;0;SAN MIGUEL;174;380;922737000;922738665;info@golfplazaresort.com;www.golfplazaresort.com
GOLF RESORT;APARTAMENTO;3 LLAVES;Urbanización;MEANDRO, 3;0;38000;0;0;0;ARONA;51;203;922787970;;;
GRAN HOTEL BAHIA DEL DUQUE;HOTEL;5 ESTRELLAS LUJO;Playa;AVDA. ALCALDE WALTER PAETZMAN, S/N.;0;38660;0;0;0;ADEJE;362;732;922746900;922746916;comercial@bahia-duque.com;www.bahia-duque.com
GRAN HOTEL RIU GAROE;HOTEL;4 ESTRELLAS;Ciudad;C/. DR. CELESTINO GONZALEZ PADRON, 3 (URB. LA PAZ);0;38400;0;0;0;PUERTO DE LA CRUZ;190;380;922382988;922388360;direccion@hotelgaroe.com;www.riu.com
GRAN MELIA PALACIO ISORA;HOTEL;5 ESTRELLAS LUJO;;AVDA. LOS OCEANOS (PLAN PARCIAL LA JAQUITA);1;38000;0;0;0;GUIA DE ISORA;609;1218;922869000;922869010;;
GRAN TINERFE;HOTEL;4 ESTRELLAS;;RAFAEL PUIG LUVINA, 13. AVDA. ;0;38660;0;0;0;ADEJE;365;703;922791200;922791265;h10.gran.tinerfe@h10.es;wwwh10.es
GRANADA PARK;APARTAMENTO;3 LLAVES;;C/. MEANDRO, 2;0;38000;0;0;0;ARONA;175;388;922787171;922790101;granadapark@hotmail.com;www.granadaparktf.com
GREEN GOLF RESORT;APARTAMENTO;4 ESTRELLAS;Urbanización;C/. LANDA (CAMPO DE GOLF LAS AMERICAS);1;38650;0;0;0;ARONA;121;325;922787760;922787766;contac@golfresortstenerife.com;www.greengolfresort.com
GREEN PARK (EL CID Y LA CORBETA);APARTAMENTO;3 LLAVES;Playa;GOLF DEL SUR, S/N. URB. ;0;38620;0;0;0;SAN MIGUEL;148;310;922738786;922738592;fmartinez@grupounica.com;www.aptosgreenpark.com
GUAJARA;VIVIENDA TURISTICA;SIN DATO;Barrio;C/ SAN BARTOLOME, 7 ;0;38593;0;0;0;ARICO;2;3;666730585;;;www.casaguajara.com
GUAYARMINA PRINCESS;HOTEL;4 ESTRELLAS;;C/. LONDRES ;1;38670;0;0;0;ADEJE;514;1028;922713113/9227125;922712000;jose.detaille@princess-hotels.com;www.princess-hotels.com/dreamprincess.com
